"name" "id" "judgmentDate" "year"
"1" "Jacek Kępa" 32132 "2013-12-13" 2013
"2" "Małgorzata Rembowska" 32132 "2013-12-13" 2013
"3" "Radosław Olewczyński" 32132 "2013-12-13" 2013
"4" NA 33491 "2014-02-04" 2014
"5" "Piotr Augustyniak" 33748 "2014-02-03" 2014
"6" "Alicja Litwicka-Cysek" 33749 "2014-02-05" 2014
"7" "Piotr Augustyniak" 33749 "2014-02-05" 2014
"8" "Piotr Cięciwa" 33749 "2014-02-05" 2014
"9" NA 34152 "2014-02-10" 2014
"10" "Krystyna Szereda" 34153 "2014-02-05" 2014
"11" "Marzena Eichstaedt" 34153 "2014-02-05" 2014
"12" "Ryszard Badio" 34153 "2014-02-05" 2014
"13" "Ewa Krajewska" 34688 "2014-02-12" 2014
"14" "Jarosław Bolek" 34688 "2014-02-12" 2014
"15" "Zbigniew Mierzejewski" 34688 "2014-02-12" 2014
"16" "Ewa Krajewska" 34689 "2014-02-12" 2014
"17" "Jarosław Bolek" 34689 "2014-02-12" 2014
"18" "Zbigniew Mierzejewski" 34689 "2014-02-12" 2014
"19" "Ewa Krajewska" 34690 "2014-02-12" 2014
"20" "Jarosław Bolek" 34690 "2014-02-12" 2014
"21" "Zbigniew Mierzejewski" 34690 "2014-02-12" 2014
"22" "Ewa Krajewska" 34691 "2014-02-12" 2014
"23" "Jarosław Bolek" 34691 "2014-02-12" 2014
"24" "Zbigniew Mierzejewski" 34691 "2014-02-12" 2014
"25" NA 35094 "2014-02-07" 2014
"26" "Krystyna Pisarska" 35095 "2014-02-14" 2014
"27" "Wojciech Janicki" 35095 "2014-02-14" 2014
"28" "Zbigniew Mierzejewski" 35095 "2014-02-14" 2014
"29" "Krystyna Pisarska" 35244 "2014-02-14" 2014
"30" "Wojciech Janicki" 35244 "2014-02-14" 2014
"31" "Zbigniew Mierzejewski" 35244 "2014-02-14" 2014
"32" NA 35257 "2014-01-30" 2014
"33" NA 35258 "2014-02-18" 2014
"34" "Rafał Maciejewski" 35259 "2014-02-05" 2014
"35" "Piotr Augustyniak" 35412 "2014-02-03" 2014
"36" "Sebastian Mihuniewicz" 35412 "2014-02-03" 2014
"37" "Wojciech Janicki" 35412 "2014-02-03" 2014
"38" NA 35421 "2014-02-19" 2014
"39" NA 35422 "2014-02-05" 2014
"40" "Rafał Maciejewski" 35610 "2014-02-05" 2014
"41" NA 35611 "2014-02-20" 2014
"42" "Magdalena Lisowska" 35821 "2014-02-04" 2014
"43" NA 35822 "2014-02-20" 2014
"44" "Anna Rodak" 35823 "2014-02-11" 2014
"45" "Magdalena Lisowska" 35823 "2014-02-11" 2014
"46" NA 35832 "2014-02-21" 2014
"47" NA 35994 "2014-02-20" 2014
"48" "Rafał Maciejewski" 35995 "2014-02-14" 2014
"49" NA 35996 "2014-02-24" 2014
"50" "Jarosław Pawlak" 35997 "2014-01-31" 2014
"51" "Krzysztof Wójcik" 35997 "2014-01-31" 2014
"52" "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" 35997 "2014-01-31" 2014
"53" "Mariola Szczepańska" 35997 "2014-01-31" 2014
"54" NA 36239 "2014-02-11" 2014
"55" NA 36240 "2014-02-04" 2014
"56" NA 36241 "2014-02-24" 2014
