"name" "lat" "lon" "lat.lon" "no.judg"
"1" "Sąd Apelacyjny we Wrocławiu" 51.1078852 17.0385376 "51.1078852:17.0385376" 1996
"2" "Sąd Okręgowy w Jeleniej Górze" 50.8979495 15.7348868 "50.8979495:15.7348868" 1055
"3" "Sąd Rejonowy w Bolesławcu" 51.2652645 15.5643631 "51.2652645:15.5643631" 139
"4" "Sąd Rejonowy w Jeleniej Górze" 50.9019594 15.7360641 "50.9019594:15.7360641" 587
"5" "Sąd Rejonowy w Lubaniu" 51.1190662 15.2868507 "51.1190662:15.2868507" 139
"6" "Sąd Rejonowy w Zgorzelcu" 51.1518042 15.0142727 "51.1518042:15.0142727" 105
"7" "Sąd Okręgowy w Legnicy" 51.2056113 16.1577176 "51.2056113:16.1577176" 1156
"8" "Sąd Rejonowy w Głogowie" 51.6622283 16.0902149 "51.6622283:16.0902149" 75
"9" "Sąd Rejonowy w Legnicy" 51.2059012 16.1576767 "51.2059012:16.1576767" 344
"10" "Sąd Rejonowy w Lubinie" 51.2473328 22.5526986 "51.2473328:22.5526986" 91
"11" "Sąd Rejonowy w Złotoryi" 51.1255303 15.9131799 "51.1255303:15.9131799" 50
"12" "Sąd Okręgowy w Opolu" 50.6658608 17.9279466 "50.6658608:17.9279466" 44
"13" "Sąd Rejonowy w Brzegu" 50.8601149 17.4674284 "50.8601149:17.4674284" 67
"14" "Sąd Rejonowy w Kędzierzynie Koźlu" 50.3337 18.1475369 "50.3337:18.1475369" 89
"15" "Sąd Rejonowy w Kluczborku" 50.97327 18.219758 "50.97327:18.219758" 0
"16" "Sąd Rejonowy w Nysie" 50.474439 17.3354479 "50.474439:17.3354479" 69
"17" "Sąd Rejonowy w Opolu" 50.6680976 17.9446694 "50.6680976:17.9446694" 111
"32" "Sąd Rejonowy Wrocław Krzyki we Wrocławiu" 51.1078852 17.0385376 "51.1078852:17.0385376" 153
"33" "Sąd Rejonowy Wrocław Śródmieście we Wrocławiu" 51.1078852 17.0385376 "51.1078852:17.0385376" 1908
"34" "Sąd Apelacyjny w Białymstoku" 53.1278099 23.1707379 "53.1278099:23.1707379" 1962
"35" "Sąd Okręgowy w Białymstoku" 53.130226 23.1569564 "53.130226:23.1569564" 1627
"36" "Sąd Rejonowy w Białymstoku" 53.1069796 23.1852454 "53.1069796:23.1852454" 206
"37" "Sąd Rejonowy w Bielsku Podlaskim" 52.769498 23.1889871 "52.769498:23.1889871" 358
"38" "Sąd Rejonowy w Sokółce" 53.4076767 23.4949002 "53.4076767:23.4949002" 165
"39" "Sąd Okręgowy w Łomży" 53.1786427 22.0775771 "53.1786427:22.0775771" 68
"40" "Sąd Rejonowy w Łomży" 53.1752009 22.0774607 "53.1752009:22.0774607" 19
"41" "Sąd Rejonowy w Zambrowie" 52.9680486 22.2436237 "52.9680486:22.2436237" 44
"55" "Sąd Rejonowy w Ostrołęce" 53.081982 21.5663838 "53.081982:21.5663838" 37
"56" "Sąd Rejonowy w Ostrowi Mazowieckiej" 52.8027984 21.8912988 "52.8027984:21.8912988" 9
"57" "Sąd Rejonowy w Przasnyszu" 53.0276373 20.8912111 "53.0276373:20.8912111" 45
"58" "Sąd Rejonowy w Wyszkowie" 52.5925274 21.4514751 "52.5925274:21.4514751" 68
"59" "Sąd Apelacyjny w Gdańsku" 54.3519596 18.6402899 "54.3519596:18.6402899" 2012
"60" "Sąd Okręgowy w Bydgoszczy" 53.1197131 17.9991292 "53.1197131:17.9991292" 2587
"61" "Sąd Rejonowy w Bydgoszczy" 53.1198121 18.0000464 "53.1198121:18.0000464" 0
"62" "Sąd Rejonowy w Inowrocławiu" 52.798075 18.2497917 "52.798075:18.2497917" 0
