"CourtCode" "CourtName" "DivisionCode" "DivisionName" "DivisionName2" "DivisionCode2"
"1" "15450500" "Sąd Okręgowy w Warszawie" "0005127" "XVII Wydział Sąd Ochrony Konkurencji i Konsumenta" "Sąd Ochrony Konkurencji i Konsumenta" 1
"2" "15150000" "Sąd Apelacyjny w Katowicach" "0000503" "I Wydział Cywilny" "Cywilny" 4
"4" "15050000" "Sąd Apelacyjny w Białymstoku" "0000503" "I Wydział Cywilny" "Cywilny" 1
"7" "15150000" "Sąd Apelacyjny w Katowicach" "0001006" "II Wydział Karny" "Karny" 2
"13" "15050000" "Sąd Apelacyjny w Białymstoku" "0001521" "III Wydział Pracy i Ubezpieczeń Społecznych" "Pracy i Ubezpieczeń Społecznych" 2
"20" "15450000" "Sąd Apelacyjny w Warszawie" "0003003" "VI Wydział Cywilny" "Cywilny" 2
"21" "15100000" "Sąd Apelacyjny w Gdańsku" "0000503" "I Wydział Cywilny" "Cywilny" 3
"33" "15450000" "Sąd Apelacyjny w Warszawie" "0000503" "I Wydział Cywilny" "Cywilny" 2
"39" "15150000" "Sąd Apelacyjny w Katowicach" "0001521" "III Wydział Pracy i Ubezpieczeń Społecznych" "Pracy i Ubezpieczeń Społecznych" 3
"42" "15450500" "Sąd Okręgowy w Warszawie" "0006027" "XX Wydział Gospodarczy" "Gospodarczy" 14
