"judgmentID" "JudgeName" "specialRoles" "CourtCode" "DivisionCode" "DivisionCode2" "judgmentDate" "judgmentYear" "JudgeSex"
"1" 126364 "Andrzej Turliński" "PRESIDING_JUDGE" "15450500" "0005127" 1 "2002-03-11" 2002 "M"
"2" 298 "Joanna Skwara" NA "15150000" "0000503" 4 "2002-11-12" 2002 "F"
"3" 298 "Monika Dembińska" NA "15150000" "0000503" 4 "2002-11-12" 2002 "F"
"4" 298 "Zofia Kawińska-Szwed" "PRESIDING_JUDGE" "15150000" "0000503" 4 "2002-11-12" 2002 "F"
"5" 126261 "Bogdan Gierzyński Protokolant Monika Pałaszewska" "PRESIDING_JUDGE" "15450500" "0005127" 1 "2003-08-04" 2003 "M"
"6" 15330 "Elżbieta Bieńkowska" NA "15050000" "0000503" 1 "2004-03-02" 2004 "F"
"7" 15330 "Elżbieta Kuczyńska" "PRESIDING_JUDGE" "15050000" "0000503" 1 "2004-03-02" 2004 "F"
"8" 15330 "Irena Ejsmont-Wiszowata" NA "15050000" "0000503" 1 "2004-03-02" 2004 "F"
"9" 317 "Joanna Skwara" NA "15150000" "0000503" 4 "2004-08-12" 2004 "F"
"10" 317 "Lucjan Modrzyk" "PRESIDING_JUDGE" "15150000" "0000503" 4 "2004-08-12" 2004 "M"
