"judgmentID" "judgmentType" "judgmentDate" "judgmentYear" "CourtCode" "DivisionCode" "DivisionCode2"
"1" 126364 "SENTENCE" "2002-03-11" 2002 "15450500" "0005127" 1
"2" 298 "SENTENCE" "2002-11-12" 2002 "15150000" "0000503" 4
"3" 126261 "SENTENCE" "2003-08-04" 2003 "15450500" "0005127" 1
"4" 15330 "SENTENCE" "2004-03-02" 2004 "15050000" "0000503" 1
"5" 317 "SENTENCE" "2004-08-12" 2004 "15150000" "0000503" 4
"6" 8156 "SENTENCE" "2004-11-09" 2004 "15150000" "0000503" 4
"7" 128080 "DECISION" "2004-11-10" 2004 "15150000" "0001006" 2
"8" 304 "SENTENCE" "2004-12-09" 2004 "15150000" "0000503" 4
"9" 377 "SENTENCE" "2004-12-02" 2004 "15150000" "0000503" 4
"10" 302 "SENTENCE" "2005-01-21" 2005 "15150000" "0000503" 4
